PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;ap-northeast-1;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:ap-northeast-1:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;ap-northeast-2;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;ap-northeast-3;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:ap-northeast-3:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;ap-south-1;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:ap-south-1:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;ap-south-2;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:ap-south-2:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;ap-southeast-1;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:ap-southeast-1:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;ap-southeast-2;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:ap-southeast-2:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;ca-central-1;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:ca-central-1:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;eu-central-1;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:eu-central-1:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;532922060792;eu-north-1;2026-06-08 23:38:19.602419;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 532922060792 is not enabled.;arn:aws:accessanalyzer:eu-north-1:532922060792:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
